name,ref_energy,n_mol,polymorph
HECPAJ,-32601.5215725618,2,HECPAJ
HETPAL01,-9774.38783793515,8,HETPAL
HETPAL,-9779.35931765302,8,HETPAL
HETPAL02,-9781.09320616977,8,HETPAL
HIBGUV,-18609.45503664395,8,HIBGUV
HIBGUV02,-18604.283599723592,8,HIBGUV
HIBGUV01,-18606.62013921884,4,HIBGUV
HIFZIJ,-21568.832583059175,4,HIFZIJ
HIFZIJ01,-21566.17609122331,4,HIFZIJ
HIFZIJ02,-21567.663966628887,4,HIFZIJ
HNIABZ20,-6106.680359288456,8,HNIABZ
HNIABZ11,-6107.402275315147,16,HNIABZ
HNIABZ21,-6107.2408492165,16,HNIABZ
HOEDSO,-5828.103237750524,4,HOEDSO
HOEDSO02,-5817.17880708505,4,HOEDSO
HOEDSO01,-5827.1961470485,4,HOEDSO
HOEDSO03,-5804.96538457965,2,HOEDSO
HOHKEV02,-20303.845278124227,4,HOHKEV
HOHKEV06,-20308.9609933892,4,HOHKEV
HOHKEV01,-20303.560740964673,4,HOHKEV
HOHKEV,-20303.538422054477,4,HOHKEV
HOHRIF02,-16468.75637032174,4,HOHRIF
HOHRIF,-16466.71124290411,4,HOHRIF
HOHRIF01,-16464.54805535503,8,HOHRIF
HOPHAL11,-13547.1957624208,2,HOPHAL
HOPHAL12,-13544.4600518169,2,HOPHAL
HOPHAL10,-13542.685437464072,2,HOPHAL
HXACAN01,-12484.246943938662,4,HXACAN
HXACAN12,-12479.631095025925,4,HXACAN
HXACAN,-12485.56273726128,8,HXACAN
HXQUIN14,-11897.9725996771,4,HXQUIN
HXQUIN15,-11904.00053768125,4,HXQUIN
HXQUIN03,-11907.768543471062,16,HXQUIN
IFILAL,-27093.77298169815,2,IFILAL
IFILAL02,-27092.11941597905,2,IFILAL
IFILAL01,-27095.40553732607,4,IFILAL
IFULUQ,-3414.2322425974903,16,IFULUQ
IFULUQ02,-3416.161434513511,32,IFULUQ
IFULUQ04,-3416.055339637662,8,IFULUQ
IFULUQ03,-3414.768484096244,8,IFULUQ
IFULUQ01,-3415.160758939525,8,IFULUQ
IFUXEN,-17615.877876892275,4,IFUXEN
IFUXEN02,-17615.392621987223,4,IFUXEN
IFUXEN03,-17620.245949671673,4,IFUXEN
IHXNAQ02,-12649.793001775311,12,IHXNAQ
IHXNAQ03,-12644.823296617606,12,IHXNAQ
IHXNAQ01,-12647.005762633526,4,IHXNAQ
ILIMEV02,-18777.070363168863,4,ILIMEV
ILIMEV,-18780.89873528135,4,ILIMEV
ILIMEV01,-18777.372718695788,8,ILIMEV
IMDIAC04,-9632.055282816047,8,IMDIAC
IMDIAC,-9629.022236799776,4,IMDIAC
IMDIAC01,-9630.576265457112,4,IMDIAC
IPIXUB08,-9079.339305839512,8,IPIXUB
IPIXUB,-9079.902717936387,4,IPIXUB
IPIXUB07,-9078.658520704988,4,IPIXUB
IQIMAZ04,-47049.47885160675,2,IQIMAZ
IQIMAZ01,-47047.955093912096,2,IQIMAZ
IQIMAZ,-47047.081215276776,2,IQIMAZ
IREYUB01,-26041.101088594376,2,IREYUB
IREYUB,-26043.44407967975,2,IREYUB
IREYUB03,-26039.920645274,2,IREYUB
IVUQOF,-21877.036600361076,2,IVUQOF
IVUQOF02,-21879.118307292505,8,IVUQOF
IVUQOF01,-21877.342231794963,8,IVUQOF
IWUKAM02,-10171.401962183576,12,IWUKAM
IWUKAM,-10170.301634861333,12,IWUKAM
IWUKAM01,-10170.798526902638,12,IWUKAM
JATFUF03,-4286.642368416587,18,JATFUF
JATFUF,-4287.287244112229,12,JATFUF
JATFUF02,-4286.803216737591,6,JATFUF
JAYPUU,-12279.598489752138,4,JAYPUU
JAYPUU03,-12280.045753447224,4,JAYPUU
JAYPUU01,-12282.162516635524,2,JAYPUU
JEGGEK,-12933.631313475147,8,JEGGEK
JEGGEK02,-12930.362957549358,8,JEGGEK
JEGGEK03,-12934.119664463244,8,JEGGEK
JIGKES01,-29501.09522855615,4,JIGKES
JIGKES,-29504.92372875247,2,JIGKES
JIGKES04,-29509.7667764426,4,JIGKES
JIYKEH02,-19811.421040435263,4,JIYKEH
JIYKEH,-19833.858827632852,4,JIYKEH
JIYKEH01,-19830.896901674925,4,JIYKEH
JIZJEH01,-18004.528601619968,8,JIZJEH
JIZJEH,-18003.710124068613,4,JIZJEH
JIZJEH03,-18000.85069882983,8,JIZJEH
JOFWIM01,-16426.766474613236,4,JOFWIM
JOFWIM,-16427.93559107704,4,JOFWIM
JOFWIM03,-16423.742719981856,8,JOFWIM
JOGVEJ07,-18722.50355604961,4,JOGVEJ
JOGVEJ01,-18720.413827596494,8,JOGVEJ
JOGVEJ,-18717.249978916025,4,JOGVEJ
JOHGEU02,-10544.19026502415,8,JOHGEU
JOHGEU01,-10545.669972009626,2,JOHGEU
JOHGEU,-10546.507357244009,8,JOHGEU
KAMDUA,-41811.1000516217,4,KAMDUA
KAMDUA01,-41815.78167845955,4,KAMDUA
KAMDUA02,-41822.424388008505,4,KAMDUA
KAXXAI,-19070.05025980479,4,KAXXAI
KAXXAI01,-19069.0596253946,4,KAXXAI
KAXXAI02,-19064.311789343687,8,KAXXAI
KAXXAI03,-19067.769291609136,6,KAXXAI
KAXXAI11,-19073.937936422524,4,KAXXAI
KAXXAI05,-19068.3906312095,4,KAXXAI
KAXXAI08,-19067.251503730975,2,KAXXAI
KEBGAB02,-13559.687049183149,4,KEBGAB
KEBGAB,-13576.583530122589,4,KEBGAB
KEBGAB01,-13580.3751824562,4,KEBGAB
KEBHIK02,-23148.151182808902,2,KEBHIK
KEBHIK,-23154.464627405636,4,KEBHIK
KEBHIK01,-23146.9813890204,8,KEBHIK
KEHFAH,-13974.3491777245,4,KEHFAH
KEHFAH02,-13972.4485756708,4,KEHFAH
KEHFAH01,-13977.196590942598,4,KEHFAH
KELFOX01,-21990.45946178731,8,KELFOX
KELFOX04,-21999.45971332449,4,KELFOX
KELFOX,-21996.55193474856,4,KELFOX
KELFOX02,-21993.625763237087,4,KELFOX
KELFOX03,-21996.224190158737,4,KELFOX
KELGEO02,-21859.33798775595,2,KELGEO
KELGEO01,-21870.33962933661,4,KELGEO
KELGEO03,-21872.668296017673,2,KELGEO
KELGEO,-21874.818894565775,2,KELGEO
KELNIA07,-20119.223651432876,2,KELNIA
KELNIA06,-20120.0416806908,4,KELNIA
KELNIA01,-20113.716869437423,2,KELNIA
KEXYOC02,-18892.286541359113,8,KEXYOC
KEXYOC,-18893.477411813437,4,KEXYOC
KEXYOC01,-18901.58208451515,2,KEXYOC
KIDJUD03,-17123.724798958825,2,KIDJUD
KIDJUD02,-17125.753482196687,4,KIDJUD
KIDJUD,-17130.1456166466,2,KIDJUD
KONTIQ04,-13153.003522062509,8,KONTIQ
KONTIQ01,-13145.146398392562,4,KONTIQ
KONTIQ02,-13148.338254377011,4,KONTIQ
KONTIQ,-13150.164878004238,4,KONTIQ
KONTIQ03,-13143.259966125965,4,KONTIQ
KOPDAW01,-19152.997877606977,4,KOPDAW
KOPDAW,-19153.763278639224,8,KOPDAW
KOPDAW02,-19158.227551426055,8,KOPDAW
KOSSIY05,-13097.363334997068,8,KOSSIY
KOSSIY04,-13095.933009275806,8,KOSSIY
KOSSIY01,-13092.769340539862,8,KOSSIY
KOWYEA07,-5797.951579790678,16,KOWYEA
KOWYEA04,-5768.750138252397,16,KOWYEA
KOWYEA09,-5796.142571490206,16,KOWYEA
KOWYEA14,-5795.802131524687,16,KOWYEA
KOWYEA02,-5798.659953363678,16,KOWYEA
KOWYEA03,-5767.711317424116,16,KOWYEA
KUTLIW02,-19005.277693798933,8,KUTLIW
KUTLIW,-19006.09907217181,4,KUTLIW
KUTLIW01,-19006.057039446412,4,KUTLIW
KUVWON01,-22703.832482491525,4,KUVWON
KUVWON,-22709.056621569187,8,KUVWON
KUVWON02,-22699.85769583881,8,KUVWON
LANLET04,-20228.13379857197,8,LANLET
LANLET02,-20225.17363250044,8,LANLET
LANLET01,-20229.6314721499,2,LANLET
LANLET,-20227.68650605199,4,LANLET
LAWYOY,-22658.47794497815,4,LAWYOY
LAWYOY01,-22660.59174607695,4,LAWYOY
LAWYOY02,-22654.169637419876,8,LAWYOY
LEBTAQ02,-18465.6796477294,4,LEBTAQ
LEBTAQ03,-18467.076133507824,8,LEBTAQ
LEBTAQ,-18471.930251404425,4,LEBTAQ
LEPPUS02,-25465.14245258056,4,LEPPUS
LEPPUS,-25461.457730230624,4,LEPPUS
LEPPUS01,-25472.59788423001,4,LEPPUS
LEQZIS04,-25998.968913451536,4,LEQZIS
LEQZIS03,-25996.244051621037,4,LEQZIS
LEQZIS,-26004.591973379884,4,LEQZIS
LETGIA12,-8148.793550417038,4,LETGIA
LETGIA04,-8147.492397366499,4,LETGIA
LETGIA08,-8138.9515142913,2,LETGIA
LETGIA03,-8145.20937412075,4,LETGIA
LHISTD02,-12399.009707658552,2,LHISTD
LHISTD10,-12397.391583292074,4,LHISTD
LHISTD25,-12396.8663271533,4,LHISTD
LHISTD41,-12397.52112550035,2,LHISTD
LICBIK03,-20869.348238718976,2,LICBIK
LICBIK,-20868.28208019261,8,LICBIK
LICBIK02,-20867.75424645706,4,LICBIK
LPYGLU,-9830.455932679017,12,LPYGLU
LPYGLU02,-9830.44395197576,12,LPYGLU
LPYGLU08,-9833.746895562936,4,LPYGLU
LSERIN01,-8065.258951403387,4,LSERIN
LSERIN16,-8064.603460294038,4,LSERIN
LSERIN21,-8065.126461819575,4,LSERIN
LTHREO01,-9689.070273068288,4,LTHREO
LTHREO18,-9685.786890447987,4,LTHREO
LTHREO06,-9686.388397717414,4,LTHREO
LUBMOO,-20918.55531771673,8,LUBMOO
LUBMOO02,-20916.718865283165,4,LUBMOO
LUBMOO01,-20916.463325966724,2,LUBMOO
MABZNA02,-22036.83233865499,4,MABZNA
MABZNA01,-22032.344655833214,4,MABZNA
MABZNA,-22032.5092088298,4,MABZNA
MALEHY01,-3937.2486120507247,8,MALEHY
MALEHY12,-3938.096800831163,8,MALEHY
MALEHY10,-3938.917676879013,4,MALEHY
MALOAM01,-7906.018715607263,4,MALOAM
MALOAM02,-7910.291701936738,4,MALOAM
MALOAM,-7911.154409538763,8,MALOAM
MAQWIM01,-8016.304463502288,8,MAQWIM
MAQWIM05,-8016.401114938912,8,MAQWIM
MAQWIM03,-8016.397436207075,8,MAQWIM
MAQWIM,-8018.101284360287,8,MAQWIM
MAVGEW02,-20850.99273187139,4,MAVGEW
MAVGEW,-20855.5010439098,4,MAVGEW
MAVGEW01,-20856.5593975233,4,MAVGEW
MCHTEP05,-8027.36026790255,2,MCHTEP
MCHTEP,-8032.17912825045,2,MCHTEP
MCHTEP01,-8025.3289783636255,4,MCHTEP
MEKMUO,-23620.03976898305,4,MEKMUO
MEKMUO02,-23623.035900803177,2,MEKMUO
MEKMUO01,-23616.9336437805,2,MEKMUO
MELFIT,-34139.3341927787,4,MELFIT
MELFIT05,-34139.179044416276,2,MELFIT
MELFIT09,-34135.66040531502,4,MELFIT
MELFIT07,-34139.055021632426,2,MELFIT
MELFIT01,-34141.65807742195,2,MELFIT
MELFIT02,-34143.763635807205,4,MELFIT
MELFIT06,-34139.88269553095,4,MELFIT
MELFIT04,-34150.01872675836,4,MELFIT
MENMIB01,-22955.736007740776,2,MENMIB
MENMIB02,-22959.89693289367,8,MENMIB
MENMIB,-22958.289271963626,4,MENMIB
MEUREA02,-6319.747090769162,4,MEUREA
MEUREA03,-6319.221429393387,4,MEUREA
MEUREA,-6321.140217663526,4,MEUREA
MIFSUS,-27867.740247009824,4,MIFSUS
MIFSUS01,-27873.94600566291,4,MIFSUS
MIFSUS02,-27867.213326987225,2,MIFSUS
MILHOF,-40085.31302501568,4,MILHOF
MILHOF01,-40098.8319785785,2,MILHOF
MILHOF02,-40098.59332051888,2,MILHOF
MIQXOC02,-17498.089947108932,8,MIQXOC
MIQXOC01,-17501.00048238191,8,MIQXOC
MIQXOC,-17499.00876809544,4,MIQXOC
MIQXUI02,-17964.489666019403,8,MIQXUI
MIQXUI,-17969.959833404624,4,MIQXUI
MIQXUI01,-17966.05323342505,4,MIQXUI
MONRAI02,-13293.556144696187,4,MONRAI
MONRAI08,-13289.118748409135,4,MONRAI
MONRAI,-13292.806064275874,4,MONRAI
MUBJOJ,-13060.301972929905,8,MUBJOJ
MUBJOJ05,-13058.251906324524,4,MUBJOJ
MUBJOJ04,-13061.867865382845,8,MUBJOJ
MUDWEO02,-13111.44488813245,8,MUDWEO
MUDWEO,-13113.635926921026,8,MUDWEO
MUDWEO03,-13111.36611162753,8,MUDWEO
MUJXOH,-9896.260113932947,8,MUJXOH
MUJXOH01,-9897.31010247786,16,MUJXOH
MUJXOH05,-9897.788543009176,16,MUJXOH
MUPWAY34,-23536.746551076936,4,MUPWAY
MUPWAY01,-23539.59964943245,4,MUPWAY
MUPWAY14,-23539.614416944125,4,MUPWAY
MUPWAY,-23536.934375049463,4,MUPWAY
MUYROO02,-8583.1506894731,4,MUYROO
MUYROO01,-8584.099148118874,4,MUYROO
MUYROO,-8583.983130936687,8,MUYROO
NADQAL01,-2253.5150421746416,6,NADQAL
NADQAL,-2254.853151231496,12,NADQAL
NADQAL02,-2254.10360662455,24,NADQAL
NBZANO11,-22085.687299384037,4,NBZANO
NBZANO12,-22077.70076689633,8,NBZANO
NBZANO13,-22084.59107673471,8,NBZANO
NBZOAC01,-11196.675591280082,8,NBZOAC
NBZOAC17,-11191.898375908488,4,NBZOAC
NBZOAC02,-11191.7425953281,4,NBZOAC
NENVUX03,-42198.60563532264,4,NENVUX
NENVUX02,-42191.48285983194,4,NENVUX
NENVUX,-42198.6130021936,4,NENVUX
NEQDOG,-14694.956739490077,8,NEQDOG
NEQDOG03,-14696.493631446565,8,NEQDOG
NEQDOG02,-14693.822808693649,2,NEQDOG
NICOAM16,-9754.398874048526,8,NICOAM
NICOAM01,-9755.591922651724,4,NICOAM
NICOAM08,-9754.507796929876,4,NICOAM
NICOAM04,-9752.533684462254,16,NICOAM
NICOAM07,-9752.13217751205,2,NICOAM
NICOAM18,-9753.103238975138,4,NICOAM
NICOAM15,-9754.595475382106,16,NICOAM
NICOAM17,-9754.068439939325,4,NICOAM
NILLEZ09,-20171.1689374633,4,NILLEZ
NILLEZ05,-20167.816548047365,4,NILLEZ
NILLEZ03,-20168.326594531947,2,NILLEZ
NILLEZ,-20169.51022740521,4,NILLEZ
NIMFOE01,-9503.642633963944,8,NIMFOE
NIMFOE02,-9501.703814322347,4,NIMFOE
NIMFOE,-9503.403755797914,4,NIMFOE
NIZVAU02,-10963.593184522924,8,NIZVAU
NIZVAU01,-10961.410540411774,4,NIZVAU
NIZVAU,-10961.477950380662,4,NIZVAU
NOQCIF03,-22106.489109836813,4,NOQCIF
NOQCIF04,-22106.166383190623,8,NOQCIF
NOQCIF,-22109.132029007116,8,NOQCIF
NOSYOJ03,-20920.303154225687,8,NOSYOJ
NOSYOJ,-20926.920060911696,8,NOSYOJ
NOSYOJ01,-20920.916743588023,2,NOSYOJ
NOSYOJ02,-20920.64848489525,4,NOSYOJ
NUKMAH03,-11466.089610279649,8,NUKMAH
NUKMAH,-11462.72187118567,16,NUKMAH
NUKMAH02,-11461.831098207753,16,NUKMAH
NUQXAA03,-22183.552532505422,4,NUQXAA
NUQXAA02,-22176.563716547513,4,NUQXAA
NUQXAA04,-22176.0788888298,8,NUQXAA
NUQXAA,-22175.747351052807,8,NUQXAA
OCHTET03,-4216.829000940702,24,OCHTET
OCHTET,-4217.162220863317,32,OCHTET
OCHTET04,-4217.794056413551,8,OCHTET
ODEROH14,-32465.32629586704,4,ODEROH
ODEROH06,-32474.37455134505,2,ODEROH
ODEROH,-32477.409886950372,4,ODEROH
ODEROH18,-32460.996106234397,4,ODEROH
OGEPUM01,-22190.785828427863,4,OGEPUM
OGEPUM,-22190.88925431755,4,OGEPUM
OGEPUM02,-22188.32847849624,4,OGEPUM
OJIGAP02,-23225.629975332213,4,OJIGAP
OJIGAP01,-23224.19047774685,8,OJIGAP
OJIGAP,-23225.01029149485,4,OJIGAP
OJUJOU,-38302.2909077815,4,OJUJOU
OJUJOU02,-38292.17229161416,4,OJUJOU
OJUJOU03,-38286.2225795474,2,OJUJOU
OLOVET02,-29326.64586007395,2,OLOVET
OLOVET01,-29323.796027976903,2,OLOVET
OLOVET,-29327.448009589363,4,OLOVET
OVICII,-27647.2444731302,2,OVICII
OVICII02,-27654.81891468533,2,OVICII
OVICII01,-27649.090446824175,2,OVICII
OWAFAW,-16707.277411357027,8,OWAFAW
OWAFAW04,-16708.871042162005,8,OWAFAW
OWAFAW05,-16707.707675842386,8,OWAFAW
OWAFAW03,-16707.50775060056,8,OWAFAW
OXIMIU02,-21531.048501305577,4,OXIMIU
OXIMIU01,-21536.056349717524,4,OXIMIU
OXIMIU,-21535.261155082124,2,OXIMIU
PAMVIK01,-17047.691247411105,8,PAMVIK
PAMVIK,-17048.359401332462,8,PAMVIK
PAMVIK02,-17051.110308565076,8,PAMVIK
PAMVIK04,-17047.824935821045,8,PAMVIK
PASXIS03,-13896.556450750624,2,PASXIS
PASXIS02,-13888.633064439053,2,PASXIS
PASXIS,-13900.69862790317,8,PASXIS
PDHTEZ05,-9384.360169983356,8,PDHTEZ
PDHTEZ,-9385.4428019968,4,PDHTEZ
PDHTEZ01,-9384.44590257435,8,PDHTEZ
PEFGEO,-16840.104282608274,4,PEFGEO
PEFGEO03,-16841.46547453552,8,PEFGEO
PEFGEO02,-16840.19958614945,4,PEFGEO
PEFGEO01,-16839.00880470254,4,PEFGEO
PEFGIR,-20610.24576524244,4,PEFGIR
PEFGIR03,-20607.359226874418,4,PEFGIR
PEFGIR01,-20608.6515428638,4,PEFGIR
PEJJOF01,-25278.789970860864,4,PEJJOF
PEJJOF,-25277.2046709326,2,PEJJOF
PEJJOF02,-25284.65502626499,4,PEJJOF
PEQXOY,-5114.61685175435,8,PEQXOY
PEQXOY16,-5114.006661558563,8,PEQXOY
PEQXOY24,-5115.421064722093,8,PEQXOY
PEWHEE07,-10462.148538374226,2,PEWHEE
PEWHEE,-10421.286363205125,2,PEWHEE
PEWHEE01,-10429.3344004179,2,PEWHEE
PHBARB,-18594.17134782746,4,PHBARB
PHBARB11,-18590.315240739907,8,PHBARB
PHBARB12,-18587.76078963095,8,PHBARB
PHBARB10,-18586.241763440095,8,PHBARB
PHBARB08,-18593.882679582235,6,PHBARB
PHPYRO02,-14233.84425143998,8,PHPYRO
PHPYRO,-14238.595990188538,4,PHPYRO
PHPYRO01,-14232.707982369784,6,PHPYRO
PICANO03,-9749.736124500923,2,PICANO
PICANO05,-9749.538165985212,4,PICANO
PICANO,-9752.42575049185,2,PICANO
PIMBAP07,-9963.3616521155,4,PIMBAP
PIMBAP04,-9967.24802666816,4,PIMBAP
PIMBAP,-9966.008580358162,4,PIMBAP
PIMBAP08,-9964.923702776949,4,PIMBAP
POKLUY,-19695.45075333474,4,POKLUY
POKLUY02,-19693.424873950975,4,POKLUY
POKLUY01,-19698.65082658482,8,POKLUY
POQPIX03,-12698.460379503123,2,POQPIX
POQPIX,-12707.905870480088,4,POQPIX
POQPIX05,-12710.361644088023,2,POQPIX
POQPIX02,-12710.427988138876,4,POQPIX
POZYUB02,-12894.183870362824,4,POZYUB
POZYUB04,-12895.42861345811,4,POZYUB
POZYUB,-12895.163210238912,8,POZYUB
PRMDIN,-3254.812134821025,8,PRMDIN
PRMDIN20,-3253.7099211768314,8,PRMDIN
PRMDIN18,-3253.586385823141,16,PRMDIN
PUFKOU03,-11799.8064083728,16,PUFKOU
PUFKOU01,-11798.849750009604,16,PUFKOU
PUFKOU,-11800.68056379947,8,PUFKOU
PULWIF02,-5937.316964489578,24,PULWIF
PULWIF01,-5941.125230695946,24,PULWIF
PULWIF,-5940.280596020887,12,PULWIF
PULWIF03,-5937.428057439184,12,PULWIF
PUPBAD01,-4640.355084820751,8,PUPBAD
PUPBAD02,-4639.401837745031,8,PUPBAD
PUPBAD,-4638.87994302305,8,PUPBAD
PUQYOQ03,-19669.670340762,4,PUQYOQ
PUQYOQ01,-19669.287853477723,4,PUQYOQ
PUQYOQ,-19669.19577892768,8,PUQYOQ
PUQYOQ02,-19670.19561607717,8,PUQYOQ
PURSEB01,-37982.14934656985,4,PURSEB
PURSEB02,-37995.50537001378,4,PURSEB
PURSEB,-37979.98589284278,2,PURSEB
PYMDAN13,-6697.45697598925,8,PYMDAN
PYMDAN16,-6722.285858919268,8,PYMDAN
PYMDAN,-6719.6228088773505,8,PYMDAN
PYRDNA08,-6957.412972660663,4,PYRDNA
PYRDNA03,-6959.5419728003,4,PYRDNA
PYRDNA01,-6958.447631608469,16,PYRDNA
PYRZIN02,-9287.14208069215,2,PYRZIN
PYRZIN,-9286.564428374124,4,PYRZIN
PYRZIN01,-9289.20718581145,4,PYRZIN
PYRZIN17,-9286.221099044677,2,PYRZIN
QAPKOH01,-27335.998340222024,2,QAPKOH
QAPKOH02,-27334.3430932518,2,QAPKOH
QAPKOH,-27334.81259601575,4,QAPKOH
QAXMEH65,-17586.7747035174,4,QAXMEH
QAXMEH05,-17594.14627233455,8,QAXMEH
QAXMEH01,-17584.050426144786,4,QAXMEH
QAXMEH53,-17585.760895098698,2,QAXMEH
QAXMEH03,-17587.158804272087,4,QAXMEH
QAXMEH57,-17591.747330562524,4,QAXMEH
QAXMEH04,-17589.596293972525,2,QAXMEH
QAXMEH,-17588.111412978924,4,QAXMEH
QAXMEH12,-17584.249240964873,4,QAXMEH
QAXMEH60,-17587.095055667734,4,QAXMEH
QAXMEH02,-17590.1049353943,2,QAXMEH
QAXMEH59,-17591.83495100315,4,QAXMEH
QEXJEJ01,-51821.48173348052,2,QEXJEJ
QEXJEJ02,-51816.94137226087,2,QEXJEJ
QEXJEJ,-51821.4363078601,2,QEXJEJ
QIBMUM,-14745.415241963305,8,QIBMUM
QIBMUM01,-14750.767897493086,8,QIBMUM
QIBMUM04,-14750.580704411856,8,QIBMUM
QIFJAS01,-33410.6411740228,4,QIFJAS
QIFJAS02,-33409.48460229749,4,QIFJAS
QIFJAS,-33406.11183211379,4,QIFJAS
QIMKIG,-16341.724376109862,4,QIMKIG
QIMKIG03,-16338.981050427336,8,QIMKIG
QIMKIG02,-16334.9265415961,4,QIMKIG
QNACRD05,-12495.672946811175,4,QNACRD
QNACRD02,-12497.749312936035,4,QNACRD
QNACRD03,-12495.304877521665,4,QNACRD
QOBHEW,-6723.664416216812,8,QOBHEW
QOBHEW01,-6718.806821483237,4,QOBHEW
QOBHEW02,-6719.336930817512,4,QOBHEW
QOBHIA,-8332.54464879408,8,QOBHIA
QOBHIA02,-8328.000265235387,8,QOBHIA
QOBHIA01,-8332.497648176639,4,QOBHIA
QOBHOG,-9943.81096856743,8,QOBHOG
QOBHOG04,-9938.545965077112,4,QOBHOG
QOBHOG01,-9940.276356615645,8,QOBHOG
QODZUG01,-18552.908588406277,4,QODZUG
QODZUG02,-18556.67610139895,4,QODZUG
QODZUG,-18557.394367579,4,QODZUG
QOGNEF02,-10983.242302309209,16,QOGNEF
QOGNEF,-10984.429501268069,16,QOGNEF
QOGNEF01,-10983.445179992035,8,QOGNEF
QOQVOH04,-11762.593778208096,8,QOQVOH
QOQVOH05,-11761.957693729824,4,QOQVOH
QOQVOH,-11762.922903860088,4,QOQVOH
QOWVEH,-19938.0428105787,4,QOWVEH
QOWVEH01,-19939.92573030887,2,QOWVEH
QOWVEH02,-19939.1281626249,2,QOWVEH
QQQAUG22,-14343.587556202576,2,QQQAUG
QQQAUG15,-14340.75514784925,1,QQQAUG
QQQAUG03,-14340.41788839115,1,QQQAUG
QQQAXG13,-14064.962288529036,4,QQQAXG
QQQAXG02,-14069.47018182255,4,QQQAXG
QQQAXG01,-14071.329517724176,4,QQQAXG
QQQAXG03,-14069.704544369975,8,QQQAXG
QQQCIG13,-3348.037156532716,28,QQQCIG
QQQCIG01,-3348.0794225795216,56,QQQCIG
QQQCIG14,-3348.6842990362284,14,QQQCIG
QQQCIG30,-3345.7148714384716,28,QQQCIG
QQQFDJ19,-18149.231303407087,4,QQQFDJ
QQQFDJ01,-18150.907070324687,4,QQQFDJ
QQQFDJ02,-18155.913434556125,2,QQQFDJ
QUKHIP,-33873.37612910861,4,QUKHIP
QUKHIP02,-33869.30864256245,2,QUKHIP
QUKHIP01,-33867.17070598211,4,QUKHIP
QUKHIP03,-33867.71357762855,4,QUKHIP
QULLUF,-25093.344768712577,4,QULLUF
QULLUF02,-25093.311289382425,4,QULLUF
QULLUF01,-25093.251681914273,4,QULLUF
QUZREJ,-23790.942033600513,4,QUZREJ
QUZREJ03,-23788.527818252987,4,QUZREJ
QUZREJ02,-23793.87991187825,4,QUZREJ
RATNIN,-26461.4272026241,2,RATNIN
RATNIN02,-26463.588312730524,4,RATNIN
RATNIN01,-26466.869769510224,2,RATNIN
RESORA24,-4386.3210955132,8,RESORA
RESORA31,-4384.276909186144,16,RESORA
RESORA27,-4387.140754463078,16,RESORA
RESORA03,-4387.744433308338,8,RESORA
REZQOF02,-12556.08426944694,12,REZQOF
REZQOF,-12553.648207322483,6,REZQOF
REZQOF03,-12553.60153165848,12,REZQOF
RIFQAY03,-4070.357406079844,8,RIFQAY
RIFQAY,-4071.107236724613,16,RIFQAY
RIFQAY02,-4072.279889243057,16,RIFQAY
RIFQAY01,-4070.052252970344,16,RIFQAY
RIGHUK04,-19909.82909961392,8,RIGHUK
RIGHUK,-19907.48812868324,4,RIGHUK
RIGHUK01,-19904.990552225412,4,RIGHUK
RUGSIW06,-19969.994338865275,4,RUGSIW
RUGSIW,-19975.589670693113,4,RUGSIW
RUGSIW05,-19974.379324500325,8,RUGSIW
RUGSIW04,-19966.278684147976,8,RUGSIW
RUGSIW03,-19967.93496483437,8,RUGSIW
RUGSIW01,-19971.865740698573,4,RUGSIW
RUGSIW02,-19974.04430397665,4,RUGSIW
SADSIZ,-22245.194778368314,4,SADSIZ
SADSIZ01,-22238.3338938016,4,SADSIZ
SADSIZ02,-22238.75568159729,4,SADSIZ
SADTIC05,-12104.460403379926,2,SADTIC
SADTIC03,-12101.235835121077,4,SADTIC
SADTIC,-12101.536904985374,2,SADTIC
SADTIC09,-12101.094026051112,4,SADTIC
SADTIC07,-12102.65307578785,2,SADTIC
SAGXOP,-23338.721942174587,4,SAGXOP
SAGXOP03,-23336.9180472776,4,SAGXOP
SAGXOP01,-23335.92919277445,4,SAGXOP
SALMID08,-10896.986240028577,4,SALMID
SALMID01,-10900.611373242513,8,SALMID
SALMID07,-10896.43335155065,4,SALMID
SALMID06,-10899.651513446712,8,SALMID
SALOXM09,-10668.157538882737,4,SALOXM
SALOXM,-10675.014312706026,4,SALOXM
SALOXM02,-10671.221306205436,8,SALOXM
SANGUN08,-8219.4235279235,4,SANGUN
SANGUN,-8217.9730997937,4,SANGUN
SANGUN20,-8218.013160848124,4,SANGUN
SATPIO,-17161.9976616618,2,SATPIO
SATPIO02,-17168.392541769448,4,SATPIO
SATPIO01,-17165.157661073194,8,SATPIO
SEDTUQ,-4314.01161157175,8,SEDTUQ
SEDTUQ33,-4309.656497210275,4,SEDTUQ
SEDTUQ06,-4313.6991516532,8,SEDTUQ
SEDTUQ25,-4313.119705859935,16,SEDTUQ
SEDZOQ04,-22797.1550221096,4,SEDZOQ
SEDZOQ05,-22792.24903037942,8,SEDZOQ
SEDZOQ,-22796.051070649948,2,SEDZOQ
SETSAN02,-7650.724339769757,6,SETSAN
SETSAN,-7653.888536881684,6,SETSAN
SETSAN01,-7653.272737369613,12,SETSAN
SEYDIJ02,-5597.79674864556,16,SEYDIJ
SEYDIJ01,-5598.644725460513,4,SEYDIJ
SEYDIJ,-5597.8006454938,16,SEYDIJ
SIHBIV,-11114.5539816835,4,SIHBIV
